servidor_id,tipo_rede,uso_cpu,uso_memoria,latencia_rede_ms,taxa_pacotes_perdidos,status_alerta
SRV-065,AWS,54.06,57.11,8.42,1.52,0
SRV-066,Azure,69.33,64.22,42.31,3.67,0
SRV-067,AWS,40.21,44.98,49.4,1.42,0
SRV-068,On-Premise,62.56,77.33,46.85,3.1,1
SRV-069,AWS,47.05,59.01,62.81,1.93,0
SRV-070,On-Premise,43.11,73.41,7.27,0.19,0
SRV-071,On-Premise,53.39,64.11,35.17,3.49,0
SRV-072,AWS,39.47,65.48,15.43,0.1,0
SRV-073,AWS,46.7,66.84,46.13,1.15,0
SRV-074,On-Premise,37.03,65.37,32.59,0.23,0
SRV-075,Azure,84.47,67.71,37.45,0.02,1
SRV-076,Azure,55.53,75.95,26.69,0.82,0
SRV-077,On-Premise,44.5,62.36,4.88,0.52,1
SRV-078,AWS,58.21,68.51,19.69,1.0,0
SRV-079,AWS,53.32,58.92,104.45,1.29,0
SRV-080,AWS,51.69,77.28,69.27,0.07,0
SRV-081,On-Premise,64.21,51.88,2.0,0.2,0
SRV-082,Azure,66.36,81.61,4.5,1.23,1
SRV-083,AWS,47.04,59.52,3.53,0.63,0
SRV-084,AWS,46.36,42.83,32.36,1.96,0
SRV-085,AWS,50.87,61.54,42.56,1.58,1
SRV-086,AWS,20.47,51.83,6.0,2.8,0
SRV-087,Azure,32.27,70.09,17.62,1.77,0
SRV-088,Azure,75.5,52.17,45.92,0.84,0
SRV-089,On-Premise,79.67,54.65,32.99,1.68,1
SRV-090,Azure,51.26,37.33,19.54,0.48,0
SRV-091,AWS,63.65,54.57,22.31,0.55,0
SRV-092,Azure,59.67,30.91,17.75,2.33,0
SRV-093,On-Premise,99.0,40.99,8.83,0.89,0
SRV-094,Azure,71.79,69.12,20.81,2.4,0
SRV-095,On-Premise,53.08,69.43,29.19,2.59,0
SRV-096,Azure,40.67,65.11,51.65,2.92,1
SRV-097,Azure,30.9,48.4,25.29,3.73,0
SRV-098,Azure,58.05,59.43,35.8,0.85,0
SRV-099,AWS,43.65,59.96,4.36,0.58,0
SRV-100,AWS,33.67,46.1,15.48,1.31,0
SRV-101,AWS,45.3,78.04,2.0,0.7,0
SRV-102,Azure,38.78,70.53,7.08,1.38,0
SRV-103,AWS,80.31,57.35,32.41,1.83,1
SRV-104,Azure,68.22,60.32,120.12,1.75,1
SRV-105,On-Premise,54.88,62.5,2.61,0.7,0
SRV-106,AWS,77.2,35.5,12.83,0.27,0
SRV-107,Azure,56.16,57.03,40.24,0.84,0
SRV-108,On-Premise,42.08,51.82,5.71,0.23,0
SRV-109,AWS,77.85,47.98,20.25,3.31,0
SRV-110,AWS,63.08,56.63,33.02,0.64,1
SRV-111,AWS,39.44,81.57,23.93,0.25,0
SRV-112,AWS,52.14,67.69,5.21,0.04,0
SRV-113,On-Premise,41.87,53.15,10.98,1.56,0
SRV-114,On-Premise,34.26,66.87,38.29,1.52,0
SRV-115,Azure,68.89,76.79,20.2,0.62,0
SRV-116,On-Premise,83.64,71.1,2.0,0.11,1
SRV-117,On-Premise,34.02,60.72,35.78,0.79,0
SRV-118,AWS,63.44,52.24,2.0,0.56,0
SRV-119,On-Premise,45.24,68.38,34.23,1.7,0
SRV-120,Azure,47.69,64.72,5.66,1.4,0
SRV-121,On-Premise,46.11,70.74,79.3,0.68,1
SRV-122,On-Premise,42.04,67.62,11.47,0.37,0
SRV-123,AWS,55.73,72.59,9.9,6.64,0
SRV-124,AWS,42.54,53.58,4.03,0.91,0
SRV-125,AWS,59.06,75.81,9.12,1.75,0
SRV-126,Azure,54.25,62.37,52.32,0.23,0
SRV-127,On-Premise,51.42,84.9,140.22,1.0,0
SRV-128,On-Premise,41.39,51.73,11.48,0.04,1
SRV-129,AWS,46.35,80.83,14.88,1.06,0
SRV-130,Azure,66.33,62.37,32.01,4.99,1
SRV-131,Azure,62.51,52.18,54.33,0.73,0
SRV-132,AWS,40.34,54.19,22.48,0.06,0
SRV-133,AWS,56.49,56.16,12.42,0.05,0
SRV-134,AWS,66.27,65.09,13.3,0.74,0
SRV-135,On-Premise,29.96,66.27,29.74,0.26,0
SRV-136,AWS,63.15,53.12,2.0,0.04,0
SRV-137,Azure,45.06,59.71,24.16,2.12,0
SRV-138,Azure,63.56,85.71,10.98,0.92,0
SRV-139,AWS,43.55,80.73,39.52,0.51,0
SRV-140,On-Premise,27.93,65.24,2.44,3.46,0
SRV-141,On-Premise,30.59,60.46,22.18,0.19,0
SRV-142,AWS,55.72,61.44,16.39,4.68,1
SRV-143,Azure,58.9,67.36,25.7,0.57,0
SRV-144,AWS,41.44,47.73,2.0,3.29,0
SRV-145,AWS,64.58,56.91,21.69,1.39,0
SRV-146,AWS,30.08,39.98,20.61,2.63,0
SRV-147,Azure,54.01,64.79,20.56,6.2,0
SRV-148,Azure,36.83,67.77,23.13,0.51,0
SRV-149,AWS,45.22,54.2,28.21,4.87,0
SRV-150,AWS,55.71,78.89,40.87,0.74,0
SRV-151,On-Premise,42.09,45.29,7.86,0.73,0
SRV-152,AWS,49.23,42.43,43.58,0.62,0
SRV-153,AWS,70.09,62.69,17.24,1.17,1
SRV-154,Azure,46.35,72.57,2.0,0.25,0
SRV-155,On-Premise,67.54,80.21,2.0,1.21,0
SRV-156,AWS,38.05,54.49,10.17,1.17,0
SRV-157,Azure,62.95,72.94,38.42,2.15,0
SRV-158,On-Premise,76.62,59.54,30.75,2.69,1
SRV-159,AWS,17.93,57.93,38.85,0.87,0
SRV-160,Azure,43.05,70.6,18.21,0.54,0
SRV-161,AWS,63.66,67.83,14.5,0.45,0
SRV-162,Azure,51.95,41.08,3.99,0.32,0
SRV-163,Azure,60.57,77.72,9.94,0.09,0
SRV-164,Azure,45.94,76.56,14.23,0.63,1
SRV-165,AWS,56.3,52.49,2.32,0.47,0
SRV-166,On-Premise,52.66,64.75,6.23,5.09,0
SRV-167,AWS,72.52,65.93,22.8,1.22,1
SRV-168,AWS,58.82,63.13,33.26,0.64,0
SRV-169,AWS,60.06,53.4,160.14,1.3,1
SRV-170,Azure,48.82,51.94,67.62,0.22,0
SRV-171,Azure,47.69,59.69,25.72,0.88,0
SRV-172,AWS,48.51,74.07,13.67,1.48,1
SRV-173,Azure,60.92,66.52,25.28,1.01,0
SRV-174,AWS,48.69,55.55,38.5,0.77,0
SRV-175,Azure,59.35,69.26,3.15,7.64,0
SRV-176,AWS,86.13,25.82,13.19,3.18,0
SRV-177,Azure,68.07,73.79,45.78,1.46,0
SRV-178,AWS,50.11,39.12,12.11,1.26,1
SRV-179,On-Premise,73.02,55.65,21.21,1.45,1
SRV-180,AWS,48.88,46.56,22.15,0.34,0
SRV-181,AWS,24.43,44.46,5.1,0.75,0
SRV-182,AWS,39.88,73.93,11.24,0.06,0
SRV-183,On-Premise,26.94,54.39,10.18,0.97,0
SRV-184,On-Premise,49.73,64.16,2.0,1.17,0
SRV-185,AWS,55.28,59.44,2.0,0.39,0
SRV-186,Azure,80.15,65.72,44.55,4.99,1
SRV-187,On-Premise,59.9,60.92,7.97,3.6,0
SRV-188,Azure,51.71,44.6,18.25,1.92,0
SRV-189,Azure,67.44,71.96,8.87,1.14,0
SRV-190,AWS,21.83,54.07,70.62,3.06,0
SRV-191,AWS,58.53,41.32,7.5,0.21,0
SRV-192,On-Premise,66.56,54.86,14.04,2.34,0
SRV-193,On-Premise,32.82,78.01,51.54,0.2,0
SRV-194,Azure,72.16,70.2,46.12,2.37,1
SRV-195,AWS,60.08,55.82,5.15,0.48,0
SRV-196,AWS,48.77,55.81,40.57,3.14,0
SRV-197,Azure,64.49,56.14,15.32,4.32,0
SRV-198,On-Premise,89.06,84.92,16.49,0.24,0
SRV-199,On-Premise,57.73,64.58,3.58,0.93,0
SRV-200,On-Premise,58.72,65.16,2.1,5.94,1
SRV-201,Azure,48.11,72.36,32.54,0.99,0
SRV-202,AWS,42.25,62.87,17.15,2.99,0
SRV-203,AWS,67.46,56.89,14.36,1.33,0
SRV-204,On-Premise,42.16,57.64,32.69,0.71,0
SRV-205,Azure,56.07,59.14,36.26,0.5,0
SRV-206,AWS,47.84,59.55,4.33,0.34,0
SRV-207,AWS,62.18,68.73,23.55,2.15,0
SRV-208,Azure,60.0,60.62,3.64,0.73,0
SRV-209,AWS,70.56,68.79,34.8,1.07,0
SRV-210,AWS,47.35,59.03,26.75,1.02,0
SRV-211,Azure,50.95,60.94,78.44,1.29,0
SRV-212,Azure,40.32,36.02,2.0,3.01,0
SRV-213,Azure,48.34,71.0,2.0,5.92,0
SRV-214,AWS,60.66,64.16,8.29,0.79,1
SRV-215,Azure,66.35,71.98,7.59,2.64,0
SRV-216,AWS,41.17,25.24,7.09,2.17,0
SRV-217,AWS,68.04,85.06,59.18,1.28,0
SRV-218,Azure,75.33,58.32,7.18,4.69,0
SRV-219,Azure,61.2,73.3,7.93,0.34,0
SRV-220,On-Premise,83.15,47.52,35.62,0.17,1
SRV-221,Azure,43.39,67.35,14.93,2.89,1
SRV-222,Azure,36.33,47.36,37.48,0.87,0
SRV-223,AWS,28.32,52.51,2.0,2.82,0
SRV-224,AWS,77.44,82.97,16.71,3.35,1
SRV-225,AWS,64.82,57.71,2.0,0.1,0
SRV-226,AWS,54.17,62.61,2.0,3.22,0
SRV-227,On-Premise,59.2,70.44,59.23,0.89,0
SRV-228,AWS,38.12,65.95,3.75,1.07,0
SRV-229,On-Premise,91.69,61.81,19.0,1.48,1
SRV-230,Azure,56.94,64.38,13.24,3.91,0
SRV-231,On-Premise,56.64,88.84,10.67,0.03,1
SRV-232,Azure,65.89,59.31,57.52,0.97,0
SRV-233,Azure,62.22,62.41,2.0,1.75,0
SRV-234,Azure,58.36,72.61,27.25,1.92,1
SRV-235,AWS,43.14,73.27,82.69,1.77,0
SRV-236,Azure,62.07,74.24,20.53,0.22,0
SRV-237,AWS,83.23,67.66,69.05,0.53,0
SRV-238,AWS,75.18,46.28,2.0,0.67,0
SRV-239,Azure,78.9,79.6,13.57,2.45,0
SRV-240,AWS,47.33,46.24,7.53,0.49,0
SRV-241,On-Premise,40.16,63.63,32.81,0.35,1
SRV-242,On-Premise,53.11,50.95,99.48,4.74,0
SRV-243,On-Premise,55.84,59.23,7.41,0.01,0
SRV-244,AWS,71.41,63.95,26.55,9.19,1
SRV-245,AWS,29.61,63.86,5.52,1.69,0
SRV-246,On-Premise,77.94,65.06,20.83,2.64,0
SRV-247,Azure,52.63,79.36,15.59,0.52,0
SRV-248,On-Premise,48.6,65.44,89.39,0.02,0
SRV-249,On-Premise,39.82,57.07,23.45,2.01,0
SRV-250,On-Premise,30.18,71.57,10.75,2.69,0
SRV-251,AWS,67.35,74.27,3.03,2.02,0
SRV-252,AWS,56.1,45.27,4.1,0.23,1
SRV-253,On-Premise,35.65,67.17,6.38,2.1,0
SRV-254,AWS,35.57,68.41,7.22,2.2,0
SRV-255,AWS,49.96,56.43,47.53,1.61,0
SRV-256,Azure,80.04,76.51,20.59,2.18,1
SRV-257,On-Premise,51.11,58.2,18.53,2.81,0
SRV-258,Azure,32.45,61.51,3.05,1.43,0
SRV-259,Azure,51.31,57.92,49.18,0.14,0
SRV-260,AWS,50.91,60.19,32.08,1.0,0
SRV-261,Azure,14.55,46.84,2.0,0.12,0
SRV-262,On-Premise,54.19,42.72,30.76,0.79,0
SRV-263,AWS,51.54,79.13,19.61,0.78,0
SRV-264,Azure,65.44,49.84,2.13,0.1,0
SRV-265,On-Premise,82.73,48.1,15.33,0.64,0
SRV-266,Azure,71.9,34.16,16.57,0.18,0
SRV-267,Azure,50.97,52.33,4.53,2.48,0
SRV-268,Azure,38.4,44.12,72.83,4.43,0
SRV-269,AWS,93.6,79.7,47.42,0.11,0
SRV-270,AWS,55.89,72.12,27.64,4.66,1
SRV-271,On-Premise,55.21,51.74,15.51,1.11,0
SRV-272,On-Premise,54.64,87.03,13.27,0.53,0
SRV-273,On-Premise,57.97,71.78,26.32,0.12,0
SRV-274,On-Premise,52.83,56.1,19.71,1.04,1
SRV-275,Azure,46.4,30.01,2.0,2.37,0
SRV-276,Azure,46.8,87.49,17.96,1.84,0
SRV-277,On-Premise,54.51,43.33,41.05,0.08,0
SRV-278,Azure,46.85,40.26,15.37,0.11,0
SRV-279,Azure,44.31,72.27,2.0,0.77,0
SRV-280,On-Premise,56.6,89.28,38.58,0.52,0
SRV-281,On-Premise,51.18,76.61,5.62,0.4,0
SRV-282,AWS,77.56,66.77,7.48,0.49,1
SRV-283,AWS,15.24,67.14,4.5,2.44,0
SRV-284,AWS,71.37,70.24,10.02,3.97,1
SRV-285,Azure,73.69,69.11,35.34,0.78,1
SRV-286,AWS,23.9,63.37,18.32,3.55,0
SRV-287,Azure,49.86,61.25,5.73,0.58,0
SRV-288,Azure,49.43,59.25,52.56,0.97,0
SRV-289,AWS,33.89,50.95,52.92,0.38,0
SRV-290,Azure,43.33,56.63,51.12,1.53,0
SRV-291,AWS,38.34,39.68,6.82,5.79,1
SRV-292,AWS,81.28,58.82,15.0,1.39,0
SRV-293,On-Premise,69.04,48.14,104.98,0.66,0
SRV-294,AWS,74.07,46.76,36.96,1.57,1
SRV-295,AWS,65.83,62.16,2.0,0.2,0
SRV-296,Azure,38.06,76.7,2.0,3.29,1
SRV-297,On-Premise,47.13,71.02,15.59,1.05,0
SRV-298,AWS,62.34,41.15,59.98,0.89,0
SRV-299,Azure,36.67,48.12,19.34,1.32,0
SRV-300,AWS,65.69,71.29,17.22,1.47,0
SRV-301,AWS,51.4,48.21,2.79,0.11,0
SRV-302,Azure,49.38,57.3,26.73,1.72,0
SRV-303,Azure,65.66,66.6,43.16,0.42,0
SRV-304,Azure,61.66,48.38,11.97,1.88,0
SRV-305,Azure,49.59,61.26,37.36,2.59,0
SRV-306,On-Premise,72.39,43.99,83.44,2.44,1
SRV-307,Azure,38.78,52.78,5.7,1.21,0
SRV-308,AWS,64.24,63.84,18.52,1.1,1
SRV-309,On-Premise,63.9,40.88,8.46,0.23,0
SRV-310,AWS,50.36,65.29,39.36,2.24,0
SRV-311,Azure,59.89,59.76,21.54,0.47,1
SRV-312,AWS,36.23,66.63,25.17,1.03,0
SRV-313,AWS,68.86,62.69,39.98,0.5,0
SRV-314,On-Premise,52.23,76.37,12.6,0.22,0
SRV-315,On-Premise,47.16,61.5,61.65,1.49,0
SRV-316,Azure,70.74,54.85,19.04,0.08,0
SRV-317,Azure,44.43,61.47,4.3,2.07,1
SRV-318,AWS,33.87,66.52,29.76,0.57,0
SRV-319,AWS,31.65,60.59,39.41,0.0,0
SRV-320,AWS,64.09,60.49,9.52,1.07,0
SRV-321,Azure,35.79,51.58,48.65,0.07,0
SRV-322,Azure,81.32,52.05,59.15,0.48,0
SRV-323,Azure,23.77,43.17,8.11,1.84,0
SRV-324,AWS,80.45,80.99,102.64,0.1,1
SRV-325,On-Premise,58.17,45.07,3.79,2.74,0
SRV-326,Azure,53.55,51.69,5.64,0.01,0
SRV-327,Azure,46.83,51.38,5.09,0.43,0
SRV-328,Azure,60.99,70.74,56.11,2.03,0
SRV-329,Azure,54.44,56.46,26.55,0.57,0
SRV-330,AWS,71.55,74.97,4.12,0.16,1
SRV-331,AWS,56.71,51.92,14.51,0.67,0
SRV-332,On-Premise,57.25,63.35,23.88,0.47,0
SRV-333,AWS,49.55,49.98,2.18,2.77,0
SRV-334,AWS,54.15,85.74,53.52,0.56,0
SRV-335,AWS,59.62,45.75,40.69,2.33,0
SRV-336,AWS,29.35,63.72,17.59,3.34,0
SRV-337,On-Premise,34.78,67.61,85.38,0.85,0
SRV-338,Azure,66.15,64.97,13.52,3.61,0
SRV-339,Azure,57.56,57.78,103.55,0.71,1
SRV-340,AWS,52.24,58.44,27.56,4.99,0
SRV-341,Azure,55.28,60.53,25.17,0.14,0
SRV-342,Azure,60.21,58.24,4.54,1.74,0
SRV-343,AWS,46.9,71.57,53.41,1.02,1
SRV-344,Azure,43.33,86.53,13.94,0.74,1
SRV-345,AWS,57.94,53.31,4.43,1.5,0
SRV-346,Azure,40.32,43.56,2.0,1.83,0
SRV-347,Azure,61.12,58.94,20.51,0.01,1
SRV-348,AWS,29.46,90.96,18.74,0.27,0
SRV-349,AWS,70.44,50.36,31.77,1.87,0
SRV-350,Azure,62.09,79.67,55.24,1.65,1
SRV-351,Azure,58.84,80.13,2.07,5.07,1
SRV-352,On-Premise,69.74,53.36,32.87,2.15,0
SRV-353,Azure,79.98,66.83,5.19,4.52,0
SRV-354,AWS,70.22,79.54,48.83,1.82,0
SRV-355,AWS,27.39,55.45,42.74,0.53,0
SRV-356,Azure,35.81,57.56,19.46,0.17,0
SRV-357,AWS,45.63,53.02,30.97,2.28,0
SRV-358,Azure,55.39,47.82,9.43,1.55,0
SRV-359,On-Premise,62.76,52.21,15.93,0.07,0
SRV-360,Azure,44.11,45.31,43.1,0.67,0
SRV-361,AWS,57.8,60.41,15.37,4.71,1
SRV-362,Azure,43.67,50.76,11.07,1.04,0
SRV-363,Azure,45.83,62.81,17.04,0.85,0
SRV-364,Azure,33.9,41.33,44.04,0.92,0
SRV-365,On-Premise,41.15,63.97,10.21,0.35,0
SRV-366,AWS,34.72,70.0,4.77,0.69,0
SRV-367,On-Premise,40.36,36.08,31.12,0.69,0
SRV-368,On-Premise,70.8,64.49,43.71,0.08,0
SRV-369,AWS,40.76,74.73,2.65,2.19,0
SRV-370,AWS,94.49,45.48,6.86,0.81,0
SRV-371,AWS,62.4,80.07,3.83,2.59,1
SRV-372,AWS,57.77,65.03,10.69,2.85,0
SRV-373,AWS,42.12,51.54,14.96,0.36,0
SRV-374,Azure,65.5,59.33,34.54,1.61,0
SRV-375,AWS,46.37,66.7,26.33,0.96,0
SRV-376,AWS,56.83,60.91,24.25,3.18,0
SRV-377,On-Premise,93.4,66.47,10.86,0.36,0
SRV-378,AWS,53.56,48.95,46.04,1.7,0
SRV-379,On-Premise,72.24,62.03,15.93,1.4,0
SRV-380,AWS,44.45,43.04,96.71,0.52,0
SRV-381,AWS,54.48,58.67,25.14,0.22,1
SRV-382,Azure,81.56,49.15,3.37,1.58,0
SRV-383,Azure,45.6,51.17,28.19,2.01,0
SRV-384,On-Premise,82.19,74.83,9.83,0.57,0
SRV-385,Azure,65.62,73.1,28.99,1.55,0
SRV-386,On-Premise,46.56,67.31,2.0,0.75,0
SRV-387,AWS,64.49,46.89,4.81,1.87,0
SRV-388,AWS,69.59,56.2,48.4,0.33,0
SRV-389,On-Premise,64.33,74.56,6.44,3.31,0
SRV-390,On-Premise,31.45,61.7,45.36,0.51,0
SRV-391,On-Premise,44.09,87.83,8.19,0.69,0
SRV-392,Azure,51.29,64.72,25.74,0.09,1
SRV-393,AWS,53.88,62.3,29.62,0.18,0
SRV-394,On-Premise,64.31,56.29,17.97,1.09,0
SRV-395,AWS,57.67,61.6,9.11,0.47,0
SRV-396,On-Premise,34.97,58.17,5.98,2.71,0
SRV-397,On-Premise,60.7,68.5,2.0,0.02,0
SRV-398,Azure,64.16,71.48,9.06,0.71,0
SRV-399,On-Premise,63.4,50.57,26.47,0.62,0
SRV-400,On-Premise,71.21,44.03,69.64,0.03,0
SRV-401,AWS,67.51,37.97,51.24,0.2,0
SRV-402,On-Premise,61.89,66.1,36.32,0.8,0
SRV-403,Azure,53.95,46.76,38.83,1.02,0
SRV-404,On-Premise,30.09,34.17,27.34,0.78,0
SRV-405,AWS,61.44,64.66,7.54,1.14,0
SRV-406,On-Premise,58.12,89.92,59.43,1.36,1
SRV-407,AWS,59.07,59.93,27.77,0.01,1
SRV-408,AWS,35.85,70.06,20.55,0.94,0
SRV-409,On-Premise,38.78,60.98,2.94,4.97,0
SRV-410,AWS,70.8,58.81,14.81,1.1,0
SRV-411,AWS,54.41,71.03,15.42,1.7,1
SRV-412,On-Premise,65.22,56.52,49.98,0.56,1
SRV-413,On-Premise,55.42,63.21,19.78,2.23,0
SRV-414,Azure,55.45,63.86,11.97,2.22,0
SRV-415,Azure,69.07,51.98,94.09,1.11,0
SRV-416,Azure,47.26,71.9,2.93,5.6,0
SRV-417,AWS,56.44,57.9,13.73,0.2,0
SRV-418,AWS,48.07,50.93,2.0,0.03,0
SRV-419,Azure,48.48,66.44,33.67,2.21,0
SRV-420,On-Premise,50.36,49.22,62.55,2.47,1
SRV-421,On-Premise,58.33,60.34,8.21,0.19,1
SRV-422,On-Premise,47.82,59.89,48.86,0.46,0
SRV-423,AWS,73.84,73.03,8.64,0.03,0
SRV-424,Azure,41.58,65.7,60.41,0.52,0
SRV-425,AWS,52.2,59.7,35.06,2.23,0
SRV-426,Azure,48.4,69.81,40.86,1.09,0
SRV-427,Azure,76.7,76.68,2.0,0.64,0
SRV-428,On-Premise,57.95,66.69,82.29,0.7,1
SRV-429,AWS,70.48,60.12,32.43,0.0,0
SRV-430,AWS,32.72,44.26,9.09,0.53,0
SRV-431,AWS,59.01,47.22,44.21,1.56,0
SRV-432,On-Premise,68.34,56.34,8.27,5.49,0
SRV-433,Azure,56.23,52.69,51.54,2.82,0
SRV-434,AWS,70.98,57.76,2.99,0.04,0
SRV-435,AWS,47.24,60.68,30.41,3.43,0
SRV-436,Azure,76.14,66.36,19.45,2.29,0
SRV-437,AWS,89.48,59.15,2.54,2.27,0
SRV-438,On-Premise,49.56,65.84,6.92,0.92,0
SRV-439,Azure,48.32,60.77,2.0,0.76,0
SRV-440,AWS,76.8,36.29,15.81,0.54,1
SRV-441,AWS,78.69,48.73,8.96,0.1,0
SRV-442,On-Premise,47.16,58.27,22.8,0.39,0
SRV-443,AWS,48.7,45.48,8.82,0.42,0
SRV-444,AWS,50.77,67.2,8.91,0.99,0
SRV-445,On-Premise,34.83,78.37,33.99,2.06,0
SRV-446,On-Premise,41.22,74.63,2.0,0.96,0
SRV-447,On-Premise,39.94,57.44,58.3,0.09,0
SRV-448,On-Premise,43.48,77.89,47.81,4.75,0
SRV-449,AWS,54.48,61.78,27.55,4.29,0
SRV-450,AWS,58.51,55.95,22.49,2.31,0
SRV-451,On-Premise,78.26,52.64,55.71,7.12,0
SRV-452,Azure,40.02,56.37,5.12,1.18,1
SRV-453,Azure,69.76,55.34,2.06,4.94,0
SRV-454,On-Premise,51.79,62.04,6.84,0.12,0
SRV-455,AWS,54.26,61.93,39.57,0.68,0
SRV-456,Azure,65.12,60.04,2.0,0.38,0
SRV-457,AWS,38.16,65.24,21.86,0.33,0
SRV-458,Azure,60.74,74.29,134.75,0.23,0
SRV-459,AWS,57.5,71.39,48.4,1.46,0
SRV-460,AWS,62.39,42.18,18.42,2.28,0
SRV-461,AWS,59.34,29.35,2.0,1.3,0
SRV-462,Azure,91.83,71.21,44.5,0.24,1
SRV-463,Azure,45.43,43.6,22.84,2.5,0
SRV-464,Azure,47.04,57.3,3.05,1.52,0
SRV-465,On-Premise,45.65,45.96,2.46,0.74,0
SRV-466,AWS,46.67,38.38,60.1,1.68,0
SRV-467,AWS,45.44,66.5,27.66,0.45,0
SRV-468,On-Premise,72.84,69.11,44.19,0.64,0
SRV-469,AWS,76.31,53.08,52.79,3.74,0
SRV-470,On-Premise,46.44,28.91,21.2,0.51,0
SRV-471,AWS,42.51,53.45,18.22,0.95,0
SRV-472,On-Premise,62.07,64.7,14.07,3.31,0
SRV-473,AWS,46.72,42.25,9.53,1.85,0
SRV-474,On-Premise,64.49,62.2,14.26,0.1,1
SRV-475,Azure,58.04,59.82,37.17,0.24,0
SRV-476,On-Premise,32.26,66.95,23.03,0.01,0
SRV-477,AWS,78.21,61.43,55.76,1.5,0
SRV-478,Azure,81.94,48.32,14.65,0.89,0
SRV-479,On-Premise,45.81,74.36,23.35,0.22,0
SRV-480,Azure,49.18,58.1,24.94,4.75,0
SRV-481,Azure,59.29,59.67,22.39,1.13,0
SRV-482,Azure,60.02,48.8,30.32,0.42,0
SRV-483,Azure,64.88,54.68,6.78,1.04,0
SRV-484,Azure,85.15,49.38,17.95,1.71,1
SRV-485,Azure,52.35,57.92,2.75,0.12,0
SRV-486,On-Premise,43.03,80.54,12.13,0.48,0
